Entity1,Entity2,Relation
United States,North America,location
United States,50 states,composition
United States,federal district,composition
United States,five major unincorporated territories,composition
United States,nine Minor Outlying Islands,composition
United States,326 Indian reservations,composition
United States,Canada,border
United States,Mexico,border
United States,Bahamas,maritime border
United States,Cuba,maritime border
United States,Russia,maritime border
United States,Washington D.C.,capital
United States,New York City,most populous city
